"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Newman","MRSA252","HO_5096_0412","S0385"
"Cluster_261","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02054_+_+_Newman_02055_+_+_DP","MRSA252_+_+_MRSA252_02062_+_+_MRSA252_02063_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01976_+_+_HO_5096_0412_01977_+_+_DP","S0385_+_+_S0385_02099_+_+_S0385_02100_+_+_DP"
"Cluster_1776","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00536_+_+_Newman_00537_+_+_DP","MRSA252_+_+_MRSA252_00528_+_+_MRSA252_00529_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00478_+_+_HO_5096_0412_00479_+_+_DP","S0385_+_+_S0385_00609_+_+_S0385_00610_+_+_DP"
"Cluster_707","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01523_+_+_Newman_01524_+_+_DP","MRSA252_+_+_MRSA252_01584_+_+_MRSA252_01585_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01505_+_+_HO_5096_0412_01506_+_+_DP","S0385_+_+_S0385_01608_+_+_S0385_01609_+_+_DP"
"Cluster_1448","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00942_+_+_Newman_00943_+_+_DT","MRSA252_+_+_MRSA252_00976_+_+_MRSA252_00977_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00888_+_+_HO_5096_0412_00889_+_+_DT","S0385_+_+_S0385_01032_+_+_S0385_01033_+_+_DT"
"Cluster_1506","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00792_+_+_Newman_00793_+_+_DP","MRSA252_+_+_MRSA252_00817_+_+_MRSA252_00818_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00728_+_+_HO_5096_0412_00729_+_+_DP","S0385_+_+_S0385_00865_+_+_S0385_00866_+_+_DP"
"Cluster_1738","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01676_+_+_Newman_01677_+_+_CO_R","MRSA252_+_+_MRSA252_01745_+_+_MRSA252_01746_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01658_+_+_HO_5096_0412_01659_+_+_CO_R","S0385_+_+_S0385_01761_+_+_S0385_01762_+_+_CO_R"
"Cluster_2649","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00134_+_+_Newman_00135_+_+_CO_R","MRSA252_+_+_MRSA252_00184_+_+_MRSA252_00185_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00159_+_+_HO_5096_0412_00160_+_+_CO_R","S0385_+_+_S0385_00204_+_+_S0385_00205_+_+_CO_R"
"Cluster_1359","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02401_+_+_Newman_02402_+_+_CO_R","MRSA252_+_+_MRSA252_02407_+_+_MRSA252_02408_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02320_+_+_HO_5096_0412_02321_+_+_CO_R","S0385_+_+_S0385_02386_+_+_S0385_02387_+_+_CO_R"
"Cluster_584","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01135_+_+_Newman_01136_+_+_CO_F","MRSA252_+_+_MRSA252_01106_+_+_MRSA252_01107_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01016_+_+_HO_5096_0412_01017_+_+_CO_F","S0385_+_+_S0385_01157_+_+_S0385_01158_+_+_CO_F"
"Cluster_1082","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00876_+_+_Newman_00877_+_+_CO_R","MRSA252_+_+_MRSA252_00903_+_+_MRSA252_00904_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00817_+_+_HO_5096_0412_00818_+_+_CO_R","S0385_+_+_S0385_00951_+_+_S0385_00952_+_+_CO_R"
"Cluster_1379","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00959_+_+_Newman_00960_+_+_DP","MRSA252_+_+_MRSA252_00995_+_+_MRSA252_00996_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00905_+_+_HO_5096_0412_00906_+_+_DP","S0385_+_+_S0385_01049_+_+_S0385_01050_+_+_DP"
"Cluster_478","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02238_+_+_Newman_02239_+_+_DP","MRSA252_+_+_MRSA252_02247_+_+_MRSA252_02248_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02167_+_+_HO_5096_0412_02168_+_+_DP","S0385_+_+_S0385_02218_+_+_S0385_02219_+_+_DP"
"Cluster_797","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02534_+_+_Newman_02535_+_+_CO_R","MRSA252_+_+_MRSA252_02547_+_+_MRSA252_02548_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02454_+_+_HO_5096_0412_02455_+_+_CO_R","S0385_+_+_S0385_02519_+_+_S0385_02520_+_+_CO_R"
"Cluster_517","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01645_+_+_Newman_01646_+_+_CO_R","MRSA252_+_+_MRSA252_01708_+_+_MRSA252_01709_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01627_+_+_HO_5096_0412_01628_+_+_CO_R","S0385_+_+_S0385_01730_+_+_S0385_01731_+_+_CO_R"
"Cluster_934","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02011_+_+_Newman_02012_+_+_DP","MRSA252_+_+_MRSA252_02019_+_+_MRSA252_02020_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01925_+_+_HO_5096_0412_01926_+_+_DP","S0385_+_+_S0385_02031_+_+_S0385_02032_+_+_DP"
"Cluster_2188","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02435_+_+_Newman_02436_+_+_DT","MRSA252_+_+_MRSA252_02441_+_+_MRSA252_02442_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02354_+_+_HO_5096_0412_02355_+_+_DT","S0385_+_+_S0385_02422_+_+_S0385_02423_+_+_DT"
"Cluster_1174","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00385_+_+_Newman_00386_+_+_DP","MRSA252_+_+_MRSA252_00356_+_+_MRSA252_00357_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00331_+_+_HO_5096_0412_00332_+_+_DP","S0385_+_+_S0385_00446_+_+_S0385_00447_+_+_DP"
"Cluster_1828","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01859_+_+_Newman_01860_+_+_CO_F","MRSA252_+_+_MRSA252_01934_+_+_MRSA252_01935_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01836_+_+_HO_5096_0412_01837_+_+_CO_F","S0385_+_+_S0385_01945_+_+_S0385_01946_+_+_CO_F"
"Cluster_1212","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00980_+_+_Newman_00981_+_+_DT","MRSA252_+_+_MRSA252_01016_+_+_MRSA252_01017_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00927_+_+_HO_5096_0412_00928_+_+_DT","S0385_+_+_S0385_01068_+_+_S0385_01069_+_+_DT"
"Cluster_355","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02157_+_+_Newman_02158_+_+_DP","MRSA252_+_+_MRSA252_02164_+_+_MRSA252_02165_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02084_+_+_HO_5096_0412_02085_+_+_DP","S0385_+_+_S0385_02135_+_+_S0385_02136_+_+_DP"
"Cluster_375","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02594_+_+_Newman_02595_+_+_CO_R","MRSA252_+_+_MRSA252_02605_+_+_MRSA252_02606_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02516_+_+_HO_5096_0412_02517_+_+_CO_R","S0385_+_+_S0385_02578_+_+_S0385_02579_+_+_CO_R"
"Cluster_530","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01198_+_+_Newman_01199_+_+_CO_F","MRSA252_+_+_MRSA252_01168_+_+_MRSA252_01169_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01080_+_+_HO_5096_0412_01081_+_+_CO_F","S0385_+_+_S0385_01219_+_+_S0385_01220_+_+_CO_F"
"Cluster_1504","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01239_+_+_Newman_01240_+_+_CO_F","MRSA252_+_+_MRSA252_01209_+_+_MRSA252_01210_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01121_+_+_HO_5096_0412_01122_+_+_CO_F","S0385_+_+_S0385_01261_+_+_S0385_01262_+_+_CO_F"
"Cluster_445","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01238_+_+_Newman_01239_+_+_CO_F","MRSA252_+_+_MRSA252_01208_+_+_MRSA252_01209_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01120_+_+_HO_5096_0412_01121_+_+_CO_F","S0385_+_+_S0385_01260_+_+_S0385_01261_+_+_CO_F"
"Cluster_2230","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02232_+_+_Newman_02233_+_+_CO_R","MRSA252_+_+_MRSA252_02241_+_+_MRSA252_02242_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02161_+_+_HO_5096_0412_02162_+_+_CO_R","S0385_+_+_S0385_02212_+_+_S0385_02213_+_+_CO_R"
"Cluster_211","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00183_+_+_Newman_00184_+_+_DP","MRSA252_+_+_MRSA252_00232_+_+_MRSA252_00233_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00209_+_+_HO_5096_0412_00210_+_+_DP","S0385_+_+_S0385_00255_+_+_S0385_00256_+_+_DP"
"Cluster_2391","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02364_+_+_Newman_02365_+_+_CO_R","MRSA252_+_+_MRSA252_02370_+_+_MRSA252_02371_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02283_+_+_HO_5096_0412_02284_+_+_CO_R","S0385_+_+_S0385_02349_+_+_S0385_02350_+_+_CO_R"
"Cluster_2688","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01592_+_+_Newman_01593_+_+_CO_R","MRSA252_+_+_MRSA252_01653_+_+_MRSA252_01654_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01574_+_+_HO_5096_0412_01575_+_+_CO_R","S0385_+_+_S0385_01677_+_+_S0385_01678_+_+_CO_R"
"Cluster_1758","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00849_+_+_Newman_00850_+_+_CO_F","MRSA252_+_+_MRSA252_00875_+_+_MRSA252_00876_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00789_+_+_HO_5096_0412_00790_+_+_CO_F","S0385_+_+_S0385_00923_+_+_S0385_00924_+_+_CO_F"
"Cluster_2395","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01052_+_+_Newman_01053_+_+_DT","MRSA252_+_+_MRSA252_01090_+_+_MRSA252_01091_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00999_+_+_HO_5096_0412_01000_+_+_DT","S0385_+_+_S0385_01141_+_+_S0385_01142_+_+_DT"
"Cluster_1625","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02442_+_+_Newman_02443_+_+_CO_R","MRSA252_+_+_MRSA252_02449_+_+_MRSA252_02450_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02361_+_+_HO_5096_0412_02362_+_+_CO_R","S0385_+_+_S0385_02429_+_+_S0385_02430_+_+_CO_R"
"Cluster_2467","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00869_+_+_Newman_00870_+_+_DT","MRSA252_+_+_MRSA252_00895_+_+_MRSA252_00896_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00809_+_+_HO_5096_0412_00810_+_+_DT","S0385_+_+_S0385_00943_+_+_S0385_00944_+_+_DT"
"Cluster_945","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01265_+_+_Newman_01266_+_+_CO_F","MRSA252_+_+_MRSA252_01235_+_+_MRSA252_01236_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01147_+_+_HO_5096_0412_01148_+_+_CO_F","S0385_+_+_S0385_01289_+_+_S0385_01290_+_+_CO_F"
"Cluster_666","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00740_+_+_Newman_00741_+_+_CO_F","MRSA252_+_+_MRSA252_00764_+_+_MRSA252_00765_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00675_+_+_HO_5096_0412_00676_+_+_CO_F","S0385_+_+_S0385_00812_+_+_S0385_00813_+_+_CO_F"
"Cluster_2514","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01015_+_+_Newman_01016_+_+_CO_F","MRSA252_+_+_MRSA252_01053_+_+_MRSA252_01054_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00962_+_+_HO_5096_0412_00963_+_+_CO_F","S0385_+_+_S0385_01104_+_+_S0385_01105_+_+_CO_F"
"Cluster_435","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01739_+_+_Newman_01740_+_+_CO_R","MRSA252_+_+_MRSA252_01808_+_+_MRSA252_01809_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01719_+_+_HO_5096_0412_01720_+_+_CO_R","S0385_+_+_S0385_01822_+_+_S0385_01823_+_+_CO_R"
"Cluster_1942","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00710_+_+_Newman_00711_+_+_DT","MRSA252_+_+_MRSA252_00734_+_+_MRSA252_00735_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00645_+_+_HO_5096_0412_00646_+_+_DT","S0385_+_+_S0385_00782_+_+_S0385_00783_+_+_DT"
"Cluster_295","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02190_+_+_Newman_02191_+_+_CO_R","MRSA252_+_+_MRSA252_02198_+_+_MRSA252_02199_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02119_+_+_HO_5096_0412_02120_+_+_CO_R","S0385_+_+_S0385_02168_+_+_S0385_02169_+_+_CO_R"
"Cluster_630","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00061_+_+_Newman_00062_+_+_CO_R","MRSA252_+_+_MRSA252_00114_+_+_MRSA252_00115_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00086_+_+_HO_5096_0412_00087_+_+_CO_R","S0385_+_+_S0385_00130_+_+_S0385_00131_+_+_CO_R"
"Cluster_1826","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01514_+_+_Newman_01515_+_+_DP","MRSA252_+_+_MRSA252_01572_+_+_MRSA252_01573_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01496_+_+_HO_5096_0412_01497_+_+_DP","S0385_+_+_S0385_01599_+_+_S0385_01600_+_+_DP"
"Cluster_1820","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02587_+_+_Newman_02588_+_+_CO_R","MRSA252_+_+_MRSA252_02598_+_+_MRSA252_02599_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02509_+_+_HO_5096_0412_02510_+_+_CO_R","S0385_+_+_S0385_02571_+_+_S0385_02572_+_+_CO_R"
"Cluster_1289","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02564_+_+_Newman_02565_+_+_CO_R","MRSA252_+_+_MRSA252_02577_+_+_MRSA252_02578_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02486_+_+_HO_5096_0412_02487_+_+_CO_R","S0385_+_+_S0385_02550_+_+_S0385_02551_+_+_CO_R"
"Cluster_1459","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02580_+_+_Newman_02581_+_+_DP","MRSA252_+_+_MRSA252_02591_+_+_MRSA252_02592_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02502_+_+_HO_5096_0412_02503_+_+_DP","S0385_+_+_S0385_02564_+_+_S0385_02565_+_+_DP"
"Cluster_1640","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02765_+_+_Newman_02766_+_+_CO_R","MRSA252_+_+_MRSA252_02769_+_+_MRSA252_02770_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02698_+_+_HO_5096_0412_02699_+_+_CO_R","S0385_+_+_S0385_02747_+_+_S0385_02748_+_+_CO_R"
"Cluster_2044","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00902_+_+_Newman_00903_+_+_DP","MRSA252_+_+_MRSA252_00930_+_+_MRSA252_00931_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00843_+_+_HO_5096_0412_00844_+_+_DP","S0385_+_+_S0385_00995_+_+_S0385_00996_+_+_DP"
"Cluster_1223","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00660_+_+_Newman_00661_+_+_DP","MRSA252_+_+_MRSA252_00647_+_+_MRSA252_00648_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00594_+_+_HO_5096_0412_00595_+_+_DP","S0385_+_+_S0385_00732_+_+_S0385_00733_+_+_DP"
"Cluster_2015","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00696_+_+_Newman_00697_+_+_CO_F","MRSA252_+_+_MRSA252_00684_+_+_MRSA252_00685_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00630_+_+_HO_5096_0412_00631_+_+_CO_F","S0385_+_+_S0385_00768_+_+_S0385_00769_+_+_CO_F"
"Cluster_1103","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01155_+_+_Newman_01156_+_+_CO_F","MRSA252_+_+_MRSA252_01125_+_+_MRSA252_01126_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01036_+_+_HO_5096_0412_01037_+_+_CO_F","S0385_+_+_S0385_01177_+_+_S0385_01178_+_+_CO_F"
"Cluster_827","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00770_+_+_Newman_00771_+_+_DP","MRSA252_+_+_MRSA252_00795_+_+_MRSA252_00796_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00706_+_+_HO_5096_0412_00707_+_+_DP","S0385_+_+_S0385_00842_+_+_S0385_00843_+_+_DP"
"Cluster_134","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00010_+_+_Newman_00011_+_+_CO_F","MRSA252_+_+_MRSA252_00010_+_+_MRSA252_00011_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00010_+_+_HO_5096_0412_00011_+_+_CO_F","S0385_+_+_S0385_00010_+_+_S0385_00011_+_+_CO_F"
"Cluster_1193","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02766_+_+_Newman_02767_+_+_CO_R","MRSA252_+_+_MRSA252_02770_+_+_MRSA252_02771_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02699_+_+_HO_5096_0412_02700_+_+_CO_R","S0385_+_+_S0385_02748_+_+_S0385_02749_+_+_CO_R"
"Cluster_2388","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00787_+_+_Newman_00788_+_+_CO_F","MRSA252_+_+_MRSA252_00812_+_+_MRSA252_00813_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00723_+_+_HO_5096_0412_00724_+_+_CO_F","S0385_+_+_S0385_00859_+_+_S0385_00860_+_+_CO_F"
"Cluster_429","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02431_+_+_Newman_02432_+_+_CO_F","MRSA252_+_+_MRSA252_02437_+_+_MRSA252_02438_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_02350_+_+_HO_5096_0412_02351_+_+_CO_F","S0385_+_+_S0385_02418_+_+_S0385_02419_+_+_CO_F"
"Cluster_2045","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01569_+_+_Newman_01570_+_+_CO_R","MRSA252_+_+_MRSA252_01630_+_+_MRSA252_01631_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01551_+_+_HO_5096_0412_01552_+_+_CO_R","S0385_+_+_S0385_01654_+_+_S0385_01655_+_+_CO_R"
"Cluster_2434","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02302_+_+_Newman_02303_+_+_CO_R","MRSA252_+_+_MRSA252_02310_+_+_MRSA252_02311_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02225_+_+_HO_5096_0412_02226_+_+_CO_R","S0385_+_+_S0385_02290_+_+_S0385_02291_+_+_CO_R"
"Cluster_1913","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00872_+_+_Newman_00873_+_+_CO_F","MRSA252_+_+_MRSA252_00899_+_+_MRSA252_00900_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00813_+_+_HO_5096_0412_00814_+_+_CO_F","S0385_+_+_S0385_00947_+_+_S0385_00948_+_+_CO_F"
"Cluster_565","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02432_+_+_Newman_02433_+_+_DT","MRSA252_+_+_MRSA252_02438_+_+_MRSA252_02439_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02351_+_+_HO_5096_0412_02352_+_+_DT","S0385_+_+_S0385_02419_+_+_S0385_02420_+_+_DT"
"Cluster_1315","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00726_+_+_Newman_00727_+_+_CO_F","MRSA252_+_+_MRSA252_00750_+_+_MRSA252_00751_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00661_+_+_HO_5096_0412_00662_+_+_CO_F","S0385_+_+_S0385_00798_+_+_S0385_00799_+_+_CO_F"
"Cluster_2641","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00005_+_+_Newman_00006_+_+_CO_F","MRSA252_+_+_MRSA252_00005_+_+_MRSA252_00006_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00005_+_+_HO_5096_0412_00006_+_+_CO_F","S0385_+_+_S0385_00005_+_+_S0385_00006_+_+_CO_F"
"Cluster_1540","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02500_+_+_Newman_02501_+_+_CO_R","MRSA252_+_+_MRSA252_02513_+_+_MRSA252_02514_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02421_+_+_HO_5096_0412_02422_+_+_CO_R","S0385_+_+_S0385_02488_+_+_S0385_02489_+_+_CO_R"
"Cluster_2036","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01273_+_+_Newman_01274_+_+_CO_F","MRSA252_+_+_MRSA252_01243_+_+_MRSA252_01244_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01155_+_+_HO_5096_0412_01156_+_+_CO_F","S0385_+_+_S0385_01297_+_+_S0385_01298_+_+_CO_F"
"Cluster_795","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01050_+_+_Newman_01051_+_+_CO_F","MRSA252_+_+_MRSA252_01088_+_+_MRSA252_01089_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00997_+_+_HO_5096_0412_00998_+_+_CO_F","S0385_+_+_S0385_01139_+_+_S0385_01140_+_+_CO_F"
"Cluster_1659","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01373_+_+_Newman_01374_+_+_DP","MRSA252_+_+_MRSA252_01368_+_+_MRSA252_01369_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01266_+_+_HO_5096_0412_01267_+_+_DP","S0385_+_+_S0385_01391_+_+_S0385_01392_+_+_DP"
"Cluster_1693","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02449_+_+_Newman_02450_+_+_DP","MRSA252_+_+_MRSA252_02457_+_+_MRSA252_02458_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02368_+_+_HO_5096_0412_02369_+_+_DP","S0385_+_+_S0385_02436_+_+_S0385_02437_+_+_DP"
"Cluster_863","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00496_+_+_Newman_00497_+_+_CO_F","MRSA252_+_+_MRSA252_00485_+_+_MRSA252_00486_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00435_+_+_HO_5096_0412_00436_+_+_CO_F","S0385_+_+_S0385_00566_+_+_S0385_00567_+_+_CO_F"
"Cluster_1988","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02047_+_+_Newman_02048_+_+_DP","MRSA252_+_+_MRSA252_02055_+_+_MRSA252_02056_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01969_+_+_HO_5096_0412_01970_+_+_DP","S0385_+_+_S0385_02092_+_+_S0385_02093_+_+_DP"
"Cluster_853","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01516_+_+_Newman_01517_+_+_DP","MRSA252_+_+_MRSA252_01574_+_+_MRSA252_01575_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01498_+_+_HO_5096_0412_01499_+_+_DP","S0385_+_+_S0385_01601_+_+_S0385_01602_+_+_DP"
"Cluster_1148","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00722_+_+_Newman_00723_+_+_CO_F","MRSA252_+_+_MRSA252_00746_+_+_MRSA252_00747_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00657_+_+_HO_5096_0412_00658_+_+_CO_F","S0385_+_+_S0385_00794_+_+_S0385_00795_+_+_CO_F"
"Cluster_403","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00678_+_+_Newman_00679_+_+_CO_F","MRSA252_+_+_MRSA252_00665_+_+_MRSA252_00666_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00612_+_+_HO_5096_0412_00613_+_+_CO_F","S0385_+_+_S0385_00750_+_+_S0385_00751_+_+_CO_F"
"Cluster_2247","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00715_+_+_Newman_00716_+_+_CO_F","MRSA252_+_+_MRSA252_00739_+_+_MRSA252_00740_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00650_+_+_HO_5096_0412_00651_+_+_CO_F","S0385_+_+_S0385_00787_+_+_S0385_00788_+_+_CO_F"
"Cluster_1541","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02663_+_+_Newman_02664_+_+_DP","MRSA252_+_+_MRSA252_02667_+_+_MRSA252_02668_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02591_+_+_HO_5096_0412_02592_+_+_DP","S0385_+_+_S0385_02647_+_+_S0385_02648_+_+_DP"
"Cluster_2275","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02655_+_+_Newman_02656_+_+_DT","MRSA252_+_+_MRSA252_02659_+_+_MRSA252_02660_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02580_+_+_HO_5096_0412_02581_+_+_DT","S0385_+_+_S0385_02639_+_+_S0385_02640_+_+_DT"
"Cluster_1030","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00750_+_+_Newman_00751_+_+_CO_R","MRSA252_+_+_MRSA252_00775_+_+_MRSA252_00776_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00685_+_+_HO_5096_0412_00686_+_+_CO_R","S0385_+_+_S0385_00822_+_+_S0385_00823_+_+_CO_R"
"Cluster_351","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01024_+_+_Newman_01025_+_+_CO_R","MRSA252_+_+_MRSA252_01062_+_+_MRSA252_01063_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00971_+_+_HO_5096_0412_00972_+_+_CO_R","S0385_+_+_S0385_01113_+_+_S0385_01114_+_+_CO_R"
"Cluster_2096","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01175_+_+_Newman_01176_+_+_DT","MRSA252_+_+_MRSA252_01145_+_+_MRSA252_01146_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_01058_+_+_HO_5096_0412_01059_+_+_DT","S0385_+_+_S0385_01197_+_+_S0385_01198_+_+_DT"
